ID,Category
821,3
822,3
823,3
824,4
825,3
826,3
827,3
828,1
829,1
830,2
831,3
832,3
833,4
834,2
835,3
836,3
837,2
838,3
839,3
840,3
841,3
842,3
843,3
844,4
845,3
846,2
847,2
848,5
849,3
850,3
851,2
852,2
853,2
854,5
855,3
856,3
857,3
858,3
859,2
860,2
861,2
862,3
863,2
864,2
865,4
866,3
867,1
868,2
869,2
870,3
871,2
872,3
873,3
874,3
875,2
876,2
877,2
878,3
879,4
880,2
881,2
882,2
883,2
884,2
885,3
886,2
887,3
888,3
889,1
890,3
891,3
892,3
893,3
894,2
895,2
896,2
897,5
898,4
899,3
900,2
901,3
902,2
903,3
904,2
905,2
906,3
907,2
908,1
909,3
910,3
911,5
912,4
913,2
914,3
915,3
916,2
917,2
918,3
919,3
920,2
921,2
922,3
923,4
924,5
925,2
926,4
927,1
928,3
929,2
930,2
931,3
932,2
933,2
934,2
935,3
936,4
937,3
938,1
939,3
940,4
941,4
942,2
943,3
944,1
945,3
946,3
947,3
948,2
949,3
950,3
951,3
952,3
953,3
954,2
955,2
956,3
957,4
958,3
959,2
960,3
961,3
962,2
963,3
964,3
965,3
966,2
967,2
968,2
969,3
970,4
971,2
972,2
973,2
974,3
975,3
976,4
977,2
978,2
979,3
980,1
981,2
982,2
983,3
984,2
985,2
986,3
987,1
988,3
989,2
990,3
991,2
992,2
993,2
994,3
995,3
996,2
997,3
998,2
999,2
1000,3
1001,2
1002,3
1003,4
1004,2
1005,3
1006,2
1007,2
1008,3
1009,3
1010,3
1011,2
1012,4
1013,2
1014,3
1015,2
1016,3
1017,3
1018,3
1019,3
1020,2
1021,2
1022,2
1023,3
1024,3
1025,3
1026,2
1027,1
1028,3
1029,3
1030,1
1031,3
1032,2
1033,2
1034,2
1035,2
1036,3
1037,3
1038,2
1039,2
1040,2
1041,3
1042,5
1043,3
1044,1
1045,3
1046,3
1047,3
1048,3
1049,2
1050,5
1051,1
1052,4
1053,2
1054,5
1055,2
1056,3
1057,3
1058,3
1059,2
1060,4
1061,3
1062,3
1063,2
1064,4
1065,3
1066,1
1067,5
1068,3
1069,3
1070,2
1071,3
1072,3
1073,3
1074,5
1075,4
1076,3
1077,5
1078,2
1079,3
1080,3
1081,2
1082,3
1083,3
1084,3
1085,3
1086,4
1087,3
1088,2
1089,2
1090,3
1091,3
1092,3
1093,3
1094,5
1095,2
1096,2
1097,3
1098,3
1099,2
1100,2
1101,3
